train_url,test_url
https://www.dermaamin.com/site/images/clinical-pic/a/abcess/abcess12.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/abcess/abcess11.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/abcess/abcess22.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/abcess/abcess5.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/abcess/abcess8.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans17.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans10.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans21.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans13.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans49.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans15.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans7.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans18.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/acne_cystic/acne_cystic24.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans19.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/acne_rosacae/acne_rosacae20.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans2.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris149.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans22.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris174.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans24.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris340.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans30.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris43.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans35.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/acral_melanoma/acral_melanoma1.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans38.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/acrodermatitis_enteropathica/acrodermatitis_enteropathica1.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans41.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/acrodermatitis_enteropathica/acrodermatitis_enteropathica19.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans43.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/acrodermatitis_enteropathica/acrodermatitis_enteropathica54.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans51.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/acrodermatitis_enteropathica/acrodermatitis_enteropathica9.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans52.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/actinic_keratoses/actinic_keratoses126.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans56.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/actinic_keratoses/actinic_keratoses83.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans57.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/actinic_keratoses/actinic_keratoses91.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans63.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/actinic_keratoses/actinic_keratoses96.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans64.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/acute_paronychia/acute_paronychia5.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans65.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis100.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans76.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis37.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans77.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/amiodarone_hyperpigmentation/amiodarone_hyperpigmentation4.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acanthosis_nigricans/acanthosis_nigricans8.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/angular_cheilitis/angular_cheilitis14.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acne-infantilis/acne-infantilis1.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/angular_cheilitis/angular_cheilitis8.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acne-infantilis/acne-infantilis5.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/anthrax/anthrax1.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acne_aggravated_by_steroids/acne_aggravated_by_steroids8.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/anthrax/anthrax4.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acne_comedonal/acne_comedonal13.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/aplasia_cutis_congenita_circumscripta/aplasia_cutis_congenita_circumscripta29.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acne_cystic/acne_cystic2.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/aplasia_cutis_congenita_circumscripta/aplasia_cutis_congenita_circumscripta34.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acne_cystic/acne_cystic6.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/atrichia_congenita_circumscripta_diffusa/atrichia_congenita_circumscripta_diffusa3.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acne_rosacae/acne_rosacae12.jpg,https://www.dermaamin.com/site/images/clinical-pic/a/atrichia_congenita_circumscripta_diffusa/atrichia_congenita_circumscripta_diffusa4.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acne_rosacae/acne_rosacae15.jpg,https://www.dermaamin.com/site/images/clinical-pic/b/basal_cell_carcinoma/basal_cell_carcinoma96.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acne_rosacae/acne_rosacae16.jpg,https://www.dermaamin.com/site/images/clinical-pic/b/basal_cell_carcinomas_cystic/basal_cell_carcinomas_cystic21.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acne_rosacae/acne_rosacae17.jpg,https://www.dermaamin.com/site/images/clinical-pic/b/basal_cell_carcinomas_cystic/basal_cell_carcinomas_cystic36.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acne_rosacae/acne_rosacae8.jpg,https://www.dermaamin.com/site/images/clinical-pic/b/basal_cell_carcinoma_morpheiform/basal_cell_carcinoma_morpheiform4.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acne_scarring/acne_scarring10.jpg,https://www.dermaamin.com/site/images/clinical-pic/b/basal_cell_carcinoma_morpheiform/basal_cell_carcinoma_morpheiform43.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acne_scarring/acne_scarring16.jpg,https://www.dermaamin.com/site/images/clinical-pic/b/beckers_nevus/beckers_nevus15.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acne_scarring/acne_scarring18.jpg,https://www.dermaamin.com/site/images/clinical-pic/b/beckers_nevus/beckers_nevus16.jpg
https://www.dermaamin.com/site/images/clinical-pic/a/acne_scarring/acne_scarring20.jpg,https://www.dermaamin.com/site/images/clinical-pic/b/beckers_nevus/beckers_nevus21.jpg
